Original_Row_Data,Violation_Type,Violation_Reason,Recommendation,Column_Affected,Value_Causing_Violation
"{'MOVIE_NAME': 'Toy Story', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Elemental', 'Feauture': 'Adapted Screenplay', 'Award_status': 'Ineligible'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'cars', 'Feauture': 'Original Song', 'Award_status': 'Nominated'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Wall-E', 'Feauture': 'Original Script', 'Award_status': '✨Winner✨'}",Pattern & Format (Special Characters),Unexpected symbol detected in column 'Award_status'.,Use regex sanitation on ingestion or during data cleaning.,Award_status,✨Winner✨
"{'MOVIE_NAME': ""A Bug's Life"", 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'MOVIE_NAME'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",MOVIE_NAME,A Bug's Life
"{'MOVIE_NAME': ""A Bug's Life"", 'Feauture': 'Adapted Screenplay', 'Award_status': 'Ineligible'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'MOVIE_NAME'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",MOVIE_NAME,A Bug's Life
"{'MOVIE_NAME': ""A Bug's Life"", 'Feauture': 'Original Score', 'Award_status': 'Nominated'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'MOVIE_NAME'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",MOVIE_NAME,A Bug's Life
"{'MOVIE_NAME': 'Parch@d', 'Feauture': 'Original Screenplay', 'Award_status': 'Nominated'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'MOVIE_NAME'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",MOVIE_NAME,Parch@d
"{'MOVIE_NAME': '123', 'Feauture': 'Original Song', 'Award_status': 'Nominated'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'MOVIE_NAME'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",MOVIE_NAME,123
"{'MOVIE_NAME': 'Toy Story', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'Award_status'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",Award_status,Award not yet introduced
"{'MOVIE_NAME': ""A Bug's Life"", 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'Award_status'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",Award_status,Award not yet introduced
"{'MOVIE_NAME': 'Toy Story 2', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'Award_status'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",Award_status,Award not yet introduced
"{'MOVIE_NAME': 'Toy Story', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'Award_status'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",Award_status,Award not yet introduced
"{'MOVIE_NAME': 'Toy Story', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'Award_status'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",Award_status,Award not yet introduced
"{'MOVIE_NAME': '123', 'Feauture': 'Original Song', 'Award_status': 'Nominated'}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'MOVIE_NAME' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,MOVIE_NAME,123
